severity,severity_final,length,recDate,dispDate,ocat
3,3,309,18640,18949,1
5,5,105,18640,18745,1
2,2,51,18639,18690,1
3,3,81,18640,18721,5
5,5,110,18639,18749,1
5,5,512,18640,19152,1
2,2,54,18640,18694,5
1,3,238,18640,18878,1
4,5,141,18640,18781,1
3,6,216,18640,18856,5
5,5,57,18640,18697,5
5,5,151,18640,18791,5
3,3,33,18640,18673,5
3,3,308,18640,18948,5
1,1,650,18640,19290,5
5,5,41,18632,18673,2
5,5,294,18640,18934,5
4,4,153,18640,18793,5
5,5,236,18641,18877,5
4,4,89,18640,18729,5
3,3,5,18641,18646,5
4,4,200,18640,18840,5
3,3,469,18641,19110,5
5,5,664,18641,19305,5
5,5,1001,18641,19642,5
1,1,273,18641,18914,1
1,2,734,18641,19375,1
1,1,609,18640,19249,5
2,2,722,18640,19362,1
2,2,145,18640,18785,1
1,1,174,18640,18814,5
2,2,722,18640,19362,1
5,5,128,18631,18759,1
3,3,243,18641,18884,3
1,1,266,18641,18907,5
1,1,271,18641,18912,5
2,5,116,18641,18757,1
1,2,308,18641,18949,1
1,1,467,18640,19107,3
1,1,609,18640,19249,5
2,5,199,18641,18840,1
2,2,143,18641,18784,1
5,5,181,18640,18821,3
4,4,122,18641,18763,2
5,5,704,18641,19345,3
5,5,235,18641,18876,5
5,5,215,18641,18856,1
3,3,342,18634,18976,5
2,2,839,18641,19480,1
3,3,720,18641,19361,5
3,3,35,18640,18675,5
3,3,690,18641,19331,5
4,4,39,18641,18680,2
1,1,1147,18640,19787,3
5,5,66,18641,18707,2
3,3,42,18641,18683,5
2,2,81,18641,18722,5
4,4,60,18641,18701,5
1,1,277,18641,18918,1
3,3,209,18641,18850,3
1,5,73,18641,18714,1
5,5,175,18641,18816,1
3,3,27,18641,18668,5
3,3,98,18641,18739,5
5,6,509,18641,19150,5
2,2,1061,18641,19702,5
5,5,68,18641,18709,5
4,4,39,18641,18680,5
5,5,82,18641,18723,5
5,5,321,18641,18962,5
1,1,433,18641,19074,5
3,3,59,18641,18700,5
5,5,209,18642,18851,5
2,2,331,18642,18973,1
2,2,138,18642,18780,5
3,3,801,18642,19443,5
5,5,53,18642,18695,5
5,5,114,18642,18756,5
5,5,67,18642,18709,5
5,5,24,18642,18666,5
3,3,38,18642,18680,5
5,5,452,18642,19094,5
3,3,159,18642,18801,5
2,2,198,18642,18840,5
2,2,142,18642,18784,1
4,4,32,18642,18674,5
5,5,509,18642,19151,2
5,5,108,18642,18750,3
1,1,857,18642,19499,3
1,1,542,18642,19184,5
5,5,65,18642,18707,2
5,5,30,18642,18672,2
1,1,478,18630,19108,5
5,5,143,18642,18785,5
